channel1,channel2,channel3,channel4,channel5,channel6
4.820457752897163e-06,-2.6307955237557857e-06,-1.6464710742884021e-06,-2.0023969910748746e-06,-2.5732155601339556e-06,-4.921353107944475e-07
3.1862525445621174e-06,-2.397109954672548e-06,-8.02773270769338e-07,-1.7553829844033997e-06,-3.3004060806763793e-06,-7.003635766302528e-07
1.2819191072381631e-06,-1.7644597868249824e-06,7.170855998072853e-08,-1.243006538188735e-06,-3.428650563083925e-06,-7.490870529262799e-07
-7.397359304267034e-07,-8.547659937471293e-07,7.950536564546083e-07,-5.316375899755755e-07,-3.0693938063143318e-06,-5.878581708516798e-07
-2.6902782126834273e-06,1.31860742025421e-07,1.2910679150296699e-06,2.1809473407716495e-07,-2.435101674458354e-06,-2.8226208590490164e-07
-4.339906095379205e-06,9.784438647971051e-07,1.5864744608318593e-06,8.276302107952585e-07,-1.7180615606144979e-06,2.3389466754700183e-08
-5.450557468877308e-06,1.5311776282103179e-06,1.7390595297363038e-06,1.1849797789693248e-06,-1.0308481715325494e-06,2.011815808251407e-07
-5.832752743026647e-06,1.7519614724712107e-06,1.7559059560263076e-06,1.2822827763080064e-06,-4.262023684137821e-07,2.2412849995962506e-07
-5.4047751310075615e-06,1.706359374468248e-06,1.568539243186927e-06,1.1844771379340197e-06,5.9301480457081296e-08,1.719269141200322e-07
-4.23318792416209e-06,1.4962015316490948e-06,1.0928252053708359e-06,9.5788785822174e-07,3.8772291664788557e-07,1.5097017194279915e-07
-2.530326712887286e-06,1.193395438448293e-06,3.317237401196223e-07,6.219064175038874e-07,5.369530053593882e-07,1.963840934716734e-07
-5.950884096962444e-07,8.253007763051341e-07,-5.68047265771586e-07,1.6694803130620866e-07,5.304545415703585e-07,2.408899658771835e-07
1.2730669152937825e-06,4.06806711859972e-07,-1.3642397669465962e-06,-3.8043199244988016e-07,4.437497927782444e-07,1.7970580141720325e-07
2.8293558814771293e-06,-2.835367495189086e-08,-1.84372746542071e-06,-9.141497824772639e-07,3.6709871150731803e-07,-2.2557226125816005e-08
